,club,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments
70,1. FC Köln,869.0,1249.0,1216.0,929.0,1193.0,1241.0,1466.0,1873.0,1611.0,655.0,789.0,536.0,,,,,,,,,,,,,,,
71,Leyton Orient,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Schalke 04,849.0,842.0,945.0,1077.0,1191.0,1719.0,2248.0,1807.0,1921.0,1041.0,1191.0,790.0,,,,,,,,,,,,,,,
73,Epsom &amp; Ewell,845.0,711.0,,,,,,,,,,,,,,,,,,,,,,,,,
74,Hull City,835.0,578.0,,537.0,,,,,,,,,,,,,,,,,,,,,,,
75,Brazil,816.0,,848.0,1425.0,2029.0,885.0,1383.0,14848.0,20064.0,1658.0,1282.0,1798.0,,,,,,,,,966.0,,,,,,
76,Eintracht Frankfurt,811.0,583.0,,881.0,967.0,1360.0,1530.0,1464.0,,595.0,1033.0,1203.0,,,,,,,,,,,,,,,
77,Nottingham Forest,806.0,744.0,,687.0,712.0,861.0,790.0,1560.0,3221.0,852.0,721.0,,,,,,,,,,,,,,,,
78,Sheffield United,792.0,730.0,,,,,,,,,,,,,,,,,,,,,,,,,
79,Seattle Sounders,790.0,,982.0,,,,,1719.0,1988.0,,661.0,,,,,,,,,,,,,,,,
80,Palmeiras,786.0,902.0,808.0,661.0,811.0,,,1675.0,2856.0,,,,,,,,,,,,,,,,,,
81,Australia,783.0,789.0,1383.0,657.0,727.0,678.0,1277.0,13966.0,9056.0,1055.0,895.0,951.0,,,,,,,,,,,,,,,
82,Flamengo,767.0,997.0,1186.0,1101.0,1077.0,923.0,1096.0,1647.0,2296.0,831.0,,,,,,,,,,,,,,,,,
83,FC København,759.0,,606.0,,,,,,,,,,,,,,,,,,,,,,,,
84,Venezuela,742.0,580.0,701.0,,,,,,,,,,,,,,,,,,,,,,,,
85,Hamburger SV,732.0,782.0,1006.0,,,,870.0,,,,,,,,,,,,,,,,,,,,
86,Portsmouth,726.0,722.0,,1178.0,1908.0,2101.0,1274.0,,1986.0,752.0,1352.0,1270.0,,,,,,,,,,,,,,,
87,Athletic Club,719.0,622.0,682.0,808.0,650.0,851.0,990.0,1512.0,,994.0,747.0,802.0,,,,,,,,,,,,,,,
88,Cardiff City,710.0,756.0,607.0,893.0,1092.0,1247.0,1760.0,,,1855.0,1602.0,1300.0,,,,,,,,,,,,,,,
89,Reading,696.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,
90,American Samoa,691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Nigeria,687.0,628.0,831.0,,,,,1709.0,,,744.0,582.0,,,,,,,,,,,,,,,
92,Accrington Stanley,681.0,618.0,,,,,,,,,,,,,,,,,,,,,,,,,
93,Hertha BSC,641.0,720.0,1133.0,,,769.0,957.0,,,642.0,,641.0,,,,,,,,,,,,,,,
94,Tuvalu,641.0,,,,,,,,,,,,,,,,,,,798.0,,,,673.0,,,
95,Derby County,638.0,640.0,871.0,787.0,664.0,,925.0,,,688.0,602.0,818.0,,,,,,,,,,,,,,,
